des: 47.25 | now: 47.17 | du: 0.319 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.24 | du: 0.319 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.319 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.27 | du: 0.319 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.319 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.319 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.319 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.318 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.22 | du: 0.318 | p_: 00.10 | i_: 00.10
des: 47.25 | now: 47.24 | du: 0.318 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.24 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.37 | du: 0.317 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.37 | du: 0.316 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.37 | du: 0.316 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.40 | du: 0.316 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.45 | du: 0.316 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.45 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.50 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.52 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.50 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.315 | p_: 00.10 | i_: 00.10
des: 47.50 | now: 47.47 | du: 0.315 | p_: 00.10 | i_: 00.10
